,labels,text_ready
0,ham,пройти точка присяга безумный доступно bugis great world la buffet cine there got amore wat
1,ham,около лара журить виф они
2,spam,бесплатный вход wkly comp выиграть финал кубок фа 21 май 2005 текст фа 87121 получение входной вопрос std txt rate применяться 08452810075over18
3,ham,dun говорить рано hor говорить
4,ham,думать уходить усф жить здесь хотя
5,spam,freemsg hey there darling it been weeks now and no word back like some fun you up for it still tb ok xxx std chgs to send 50 to rcv
6,ham,брат любить разговаривать я относиться патент помощь
7,ham,ваш запрос melle melle oru minnaminunginte nurungu vettam установить ваш звонок callers
8,spam,winner оценить клиент сеть выбрать получить награда размер 900 фунт стерлинг претензия звонить 09061701461
9,spam,ваш мобильный телефон 11 месяц более иметь право обновлять последний цветовой мобильный телефон камера бесплатно звонить the mobile update co free 08002986030
10,ham,скоро вернуться домой хотеть говорить вечером
11,spam,100 20 000 фунт txt csh11 отправлять 87575 стоимость 150p день день 16 tsandcs применяться ответить hl info
12,spam,выиграть неделя бесплатный членство наш 100 000 фунт стерлинг приз джакпот ввести слово клаим no 81010 lccltd pobox 4403ldnw1a7rw18
13,ham,искать правильный слово поблагодарить это дыхание обещать быть принимать ваш помощь предоставить исполнить мой обещание
14,ham,дата воскресение воля
15,spam,xxxmobilemovieclub использовать ваш кредит нажать ссылка wap следующий текстовый сообщение нажать здесь xxxmobilemovieclub com qjkgighjgcbl
16,ham,смотреть
17,ham,помнить прозвучать имя да сделать
18,ham,хорошо это то чувствовать это то капля
19,spam,англия против македония пропустить голый новость команда txt ur национальный команда 87077 eg england 87077 try wales scotland 4txt ú1 20 poboxox36504w45wq 16
20,ham,неужели это так называть имя
21,ham,быть стараться месяц шутить
22,ham,сначала платить потом доходить акция
23,ham,закончить обед идти вниз лор ард смт лор закончить обед
24,ham,фффффффффффффффффффффффффффффффффффффффффффффффффффффф
25,ham,просто вынудить съесть капуста действительно голодный tho это сушить марк беспокоить знать больной отвергать пицца
26,ham,лола твой настолько убедительный
27,ham,поймать автобус переваривать яйцо сделать чай есть остаться мама ужин ощущать мой любовь
28,ham,вернуться упаковывать автомобиль сейчас дать знать комната
29,ham,аххха работа глубоко помнить это это выглядеть лола
30,ham,дождаться ясно уверить тот саркастичный именно поэтому хотеть жить мы
31,ham,да войти извинитель выпасть актин грязный ребёнок попасть это быть туда
32,ham,рассказать ты что то
33,ham,из за страх ослабевать тот домашний работа который сделать
34,spam,спасибо подписка ringtone uk ваш мобильный телефон оплачиваться месяц пожалуйста подтвердить отвечать да нет
35,ham,yup ok go home look at the timings then msg again xuhui going to learn on 2nd may too but her lesson is at 8am
36,ham,оопс дать знать комната закончить
37,ham,видеть буква свой автомобиль
38,ham,быть решить
39,ham,здравствуйте уйти суббота просто писать увидеть решить что то сделать то пытаться пригласить что то
40,ham,pls идти вперёд вата просто хотеть уверенный отличный уикенд
41,ham,хотеть ты нужный ты жажда ты весь любить сладкий арабский стед
42,spam,07732584351 rodger burns msg попытаться позвонить снова ваш ответ наш sms бесплатный мобильный nokia бесплатный камера пожалуйста звонить 08000930705 доставка завтра
43,ham,кто видеть
44,ham,хорошо надеяться понравиться ваш муж устроенный дюйм
45,ham,никакой звонок пропустить звонок
46,ham,получить иммунизация геп нигерия
47,ham,достаточно справедливо что то происходить
48,ham,да надеяться тайлера это сделать мочь спросить немного
49,ham,знать насколько упорный хотеть ходить больница продолжать говорить марка слабый сахар
50,ham,думать я первый увидеть класс
51,ham,грам обычно работать половина восемь умный хотя получать весь второй грам
52,ham,fyi уходить рано утром распадаться наш место сегодня вечером
53,ham,wow never realized that you were so embarrassed by your accomodations thought you liked it since was doing the best could and you always seemed so happy about the cave sorry didn and don have more to give sorry offered sorry your room was so embarrassing
54,spam,sms ac sptv the new jersey devils and the detroit red wings играть ice hockey correct or incorrect end
55,ham,знать вы сделать малика шейтр вчера узнать url
56,spam,конгресс год специальный кинематографический паспорт являться ваш звонить 09061209465 сейчас suprman matrix3 starwars3 бесплатно bx420 ip4 5we 150pm пропустить
57,ham,извинить звонить поздний встреча
58,ham,рассказать добраться
59,ham,да гаутить сехвага серия оди
60,ham,твой гонный должный взять бургер дорога домой мочь двигаться
61,ham,хороший шутка девушка искать ситуация
62,ham,это часть проверка iq
63,ham,извинить мой комнатный друг тратить навсегда хорошо прийти сейчас
64,ham,около лара двойной проверять волос сказать wun cut short сказать резать пока смотреть красиво
65,spam,оценить клиент рад посоветовать вы недавний обзор ваш mob no наградить бонусный премия 1500 фунт стерлинг звонить 09066364589
66,ham,сегодня день посвятить песня какой песня быть посвящать я посылать это весь ценный френд сначала ответить я
