anamnesis,disease
"Здравствуйте, я не чувствую себя совсем хорошо. Я ощущаю сильный жжение и боль при мочеиспускании, а также часто хочу пойти в туалет. Эти симптомы появились несколько дней назад и не уменьшаются. Но у меня нет никакой температуры и болей в животе. Началось все после того, как я был на длинной поездке на автомобиле. У меня нет хронических заболеваний, которые могут быть связаны с этим.",инсульт
"Добрый день, я чувствую боль в ухе и заметил ухудшение слуха. Симптомы начали проявляться пару дней назад, я обнаружил красноту и отек за ушной раковиной. Не было температуры или какой-либо жидкости, вытекающей из уха. Мне кажется, что я раньше не сталкивался с таким. Я не страдаю от хронических заболеваний, которые могут быть связаны с моим состоянием.",ангина
"Здравствуйте, я пришел на прием, так как не чувствую себя хорошо. У меня болит горло, глотание вызывает боль и резь. Температура поднялась до 38 градусов, есть общая слабость и усталость. Я заметил, что мои мандельоны красные и опухшие. Но кашля и насморка у меня нет. Симптомы начали проявляться пару дней назад и постепенно ухудшались. У меня нет хронических заболеваний, которые могут быть связаны с моим состоянием.",корь
"Здравствуйте, я себя чувствую довольно плохо. У меня была высокая температура, сильный кашель и насморк. Кожа на моем теле покрылась сыпью, которая чесалась и доставляла дискомфорт. Я также чувствую слабость и усталость. Симптомов головной боли и боль в горле не было. Я заметил первые симптомы около недели назад, и состояние продолжало ухудшаться со временем. У меня нет хронических заболеваний, которые могут быть связаны с этой болезнью.",ветрянка
"Здравствуйте, я пришел на первичный прием. Я чувствую себя не очень хорошо. У меня быстрый сердцебиение, иногда ощущаю сердцебиение даже в покое. Чувствую себя напряженным и нервозным. Не заметил никаких других симптомов, кроме частого сердцебиения. Хронических заболеваний у меня нет. Симптомы начали проявляться несколько дней назад и постепенно усиливались. Больше всего беспокоит быстрый пульс. Было бы здорово выяснить, что мне не так.",цистит
"Здравствуйте, я не совсем чувствую себя хорошо последнее время. Часто беспокоят боли и дискомфорт в желудке, которые не проходят длительное время. Бывают периоды тошноты и рвоты, особенно после еды. Я также чувствую тяжесть после приема пищи и иногда сердцебиение. К счастью, у меня нет повышенной температуры или кровоточивости. Эти симптомы начали проявляться около месяца назад и постепенно усиливались. Я не страдаю от хронических заболеваний, которые, как я думаю, могут быть связаны с этими симптомами.",тахикардия
"Здравствуйте, я пришел на первичный прием. Я чувствую себя довольно слабо и устало в последнее время. Заметил, что стал быстрее уставать и задыхаться при физических нагрузках. Иногда бывает головокружение и беспричинная слабость. У меня не было болей в животе или головной боли, но я заметил, что моя кожа стала бледной, а глаза круги под ними темные. Прошло несколько недель, как я заметил первые симптомы. Я обычно здоровый человек, но есть небольшой дефицит железа. Я надеюсь, что вы сможете помочь мне выяснить, что происходит со мной.",отит
"Здравствуйте, я чувствую себя не очень хорошо. У меня была проблема с головой, началась несколько дней назад. Я ощущал головокружение и слабость, но не было боли в голове. Кроме того, у меня была проблема с увиденным - все вокруг начало кружиться. Я не знал, что может быть не так, так как раньше у меня не было таких симптомов. Прошу объяснить, что может быть причиной моего состояния? Я не знаю, когда началось ухудшение моего состояния, так как симптомы проявлялись постепенно. Я не страдаю от хронических заболеваний, которые могут быть связаны с моим состоянием.",анемия
"Здравствуйте, я не совсем понимаю, что со мной происходит. Я чувствую себя довольно плохо, последние дни были насыщены странными симптомами. Вроде бы на мне начали появляться странные пятна, которые зудят и беспокоят меня. К тому же, у меня недавно повысилась температура, и я стал чувствовать слабость и усталость. Но нет кашля, заложенности носа и боли в горле. Я не уверен, но, возможно, это может быть связано с тем, что я контактировал с кем-то, кто болел ветрянкой. Первые симптомы появились примерно неделю назад, и с тех пор мое состояние только ухудшалось. У меня нет хронических заболеваний, которые могли бы вызвать эти симптомы, поэтому я думаю, что это что-то новое.",гастрит
"Здравствуйте, я себя чувствую не очень хорошо. У меня сильная лихорадка, кашель и насморк. Также на моем теле появились красные высыпания. Я заметил эти симптомы уже несколько дней назад, когда начал чувствовать слабость и усталость. Мое состояние было постепенно ухудшающимся. У меня не было аллергических реакций или других заболеваний, которые могут быть связаны с этими симптомами.",инсульт
"Здравствуйте, я не чувствую себя хорошо. У меня возникли проблемы с речью и координацией движений. Я не могу правильно выговаривать слова и не могу контролировать мои движения. Я также чувствую сильную головную боль и головокружение. Я не замечал никаких симптомов до того, как это произошло. Мое состояние ухудшалось постепенно и с каждым днем становилось все хуже. У меня нет хронических заболеваний, которые могут быть связаны с этим.",ангина
"Здравствуйте, я себя чувствую не очень хорошо. У меня бывают частые и болезненные мочеиспускания, иногда отмечаю небольшую боль внизу живота. Также иногда ощущаю жжение при мочеиспускании. Не было высокой температуры или рвоты. Симптомы начались пару дней назад и ухудшаются со временем. Я уже раньше сталкивался с подобными проблемами и имею хронический цистит, который периодически обостряется.",корь
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. У меня болит горло, есть затруднения при глотании, температура повышена. Мне кажется, что я простудился. Но у меня нет кашля и насморка. Симптомы начали проявляться несколько дней назад, но в последние дни мое состояние ухудшилось. Я также страдаю хроническими заболеваниями сердца и гипертонией. Я надеюсь, что вы сможете помочь мне разобраться в моей проблеме и предложить лечение.",ветрянка
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. У меня болит ухо и я слышу хуже, чем обычно. Появилось это несколько дней назад и с тех пор симптомы не улучшаются. У меня не было никакой температуры или головной боли, но ухо все еще болит. Я не имею хронических заболеваний, которые могут быть связаны с этим. Я думаю, что первые симптомы появились примерно неделю назад, и с тех пор мое состояние не улучшается.",цистит
"Здравствуйте, я не совсем хорошо себя чувствую. У меня болит живот, особенно после еды. Также у меня бывают отрыжки и изжога. Но у меня нет рвоты, и я не испытываю боль в груди. Примерно неделю назад я начал замечать первые симптомы, и со временем они стали только усиливаться. У меня есть история хронических заболеваний, включая проблемы с желудком, и я беспокоюсь, что это может быть связано с моей текущей проблемой. Я надеюсь, что вы сможете помочь мне выяснить, что со мной не так.",тахикардия
"Здравствуйте, я пришел на прием, так как чувствую себя не очень хорошо последнее время. Я заметил, что стал быстрее уставать даже при малейшей нагрузке, появилась сильная слабость и одышка. Иногда чувствую себя бессилым и даже голова начинает кружиться. Я не заметил изменений в аппетите и весе, но у меня бывает сухость и бледность кожи. В последние недели симптомы только усиливаются, хотя первые проявления я заметил уже несколько месяцев назад. Я в прошлом страдал желудочными проблемами, но последнее время ничего подобного не замечал. Буду рад услышать ваше мнение по поводу моего состояния.",отит
"Здравствуйте, я не знаю, что со мной происходит, но мне кажется, что мое сердце бьется намного быстрее, чем обычно. Я чувствую себя очень беспокойно и немного испуганно. Я заметил, что у меня часто возникают сердцебиения, даже если я сижу на месте и ничего не делаю. Мне кажется, что у меня были приливы жара и потливость, но у меня не было болей в груди или проблем с дыханием. Я заметил первые симптомы несколько дней назад, и они постепенно усиливались. Я не страдаю хроническими заболеваниями, которые могли бы быть связаны с этим. Я очень беспокоюсь о моем здоровье и надеюсь, что вы сможете мне помочь.",анемия
"Здравствуйте, я не совсем понимаю, что происходит со мной. Но я чувствую себя не очень хорошо, вроде бы как-то слабо и устало. У меня появилась сыпь на теле, небольшие пузырьки, которые потом лопаются и образуют корочки. Также меня мучает зуд и болезненность в местах сыпи. Я не заметил у себя повышения температуры, головной боли или каких-то других необычных симптомов. Сыпь начала проявляться совсем недавно, может быть, пару дней назад. Я не имею хронических заболеваний, но насколько я знаю, ветрянка может быть опасна для людей с ослабленным иммунитетом. Я бы хотел, чтобы вы мне помогли выяснить, что со мной происходит и как это лечится. Спасибо.",гастрит
"Здравствуйте, я себя чувствую не очень хорошо. Недавно стал замечать, что у меня начали появляться проблемы с речью и слабость в левой стороне тела. Также у меня возникла головная боль и тошнота. Я не заметил, чтобы у меня были проблемы с координацией движений или зрением. Эти симптомы начали проявляться сравнительно недавно, но последнее время стали ухудшаться. У меня есть диабет, но я не думаю, что это может быть связано с моими текущими симптомами.",инсульт
"Здравствуйте. Сейчас я чувствую себя не очень хорошо. У меня была высокая температура, кашель, насморк и сильная усталость. Также у меня была сыпь по всему телу и слабость в мышцах. Я не замечал никаких болей или дискомфорта внутри тела. Эти симптомы начали проявляться несколько дней назад, и они стали все хуже со временем. У меня нет хронических заболеваний, которые могут быть связаны с этим, но я переживаю, что могу заразить окружающих.",ангина
"Здравствуйте, я сейчас чувствую себя довольно плохо. У меня болит горло и я ощущаю боль при глотании. Также у меня повышенная температура и небольшой кашель. Я не заметил никаких высыпаний на коже и не испытываю затруднений при дыхании. Эти симптомы начали появляться пару дней назад. Мое состояние постепенно ухудшается и я чувствую себя очень слабо. У меня есть проблемы с аллергией, которые могут быть связаны с моим здоровьем.",корь
"Здравствуйте, я не совсем понимаю, что со мной происходит. Я чувствую дискомфорт в ухе, болит и немного слабо слышу на этой стороне. Появилось это несколько дней назад, после того как я был на пляже и плавал в море. Но кроме этого, у меня нет других симптомов, я не кашляю, не течет нос, горло не болит и температуры нет. Я впервые столкнулся с таким, поэтому не знаю, что делать. У меня нет хронических заболеваний и я никогда не болел чем-то подобным.",ветрянка
"Здравствуйте, я себя чувствую не очень хорошо. У меня болит живот и я чувствую тошноту, особенно после еды. Я также заметил, что у меня есть изжога и иногда появляется рвота. Но у меня нет ни диареи, ни запоров. Я начал замечать эти симптомы пару недель назад и они кажутся усиливающимися с каждым днем. Кроме того, у меня был гастрит несколько лет назад, и я знаю, что это может повториться. Я надеюсь, что вы можете помочь мне разобраться в этой ситуации.",цистит
"Здравствуйте, я пришел на первичный прием. Я чувствую себя не очень хорошо, у меня небольшая лихорадка и сильная усталость. Кожа по всему телу зудит и есть красные высыпания. Я заметил эти симптомы несколько дней назад, они начались с небольшого зуда на коже. Я не заметил прогрессирующего ухудшения моего состояния, но у меня есть хроническое заболевание астмы. Я надеюсь, что вы сможете помочь мне выяснить, что мне нужно делать, чтобы поскорее поправиться. Спасибо.",тахикардия
